UF,Cidade,lat,lng,Participantes
BA,Alagoinhas,-12.1335001,-38.42079926,15
BA,Amargosa,-13.02149963,-39.60200119,11
BA,Amélia Rodrigues,-12.39140034,-38.75630188,1
PI,Angical do Piauí,-6.08786011,-42.74000168,1
SE,Aracaju,-10.90909958,-37.06769943,10
MS,Aral Moreira,-22.93849945,-55.63339996,1
BA,Aramari,-12.08839989,-38.49689865,1
SP,Avaré,-23.1067009,-48.92509842,1
MA,BARAO DE GRAJAU,-6.74462986,-43.02610016,1
PA,Belém,-9.57046986,-36.49039841,2
PA,Belém,-6.74260998,-35.51660156,2
PA,Belém,-1.45539999,-48.4897995,2
RJ,Belford Roxo,-22.76399994,-43.39920044,1
MG,BELO HORIZONTE,-19.91020012,-43.92660141,1
SP,Bertioga,-23.84860039,-46.13959885,1
BA,Cabaceiras do Paraguaçu,-12.53170013,-39.19020081,4
BA,Cachoeira,-12.59939957,-38.95869827,3
BA,Caldeirão Grande,-11.02079964,-40.29560089,1
BA,Camaçari,-12.69960022,-38.32630157,4
MG,Campanha,-21.83600044,-45.40039825,1
RJ,Campos dos Goytacazes,-21.7621994,-41.31809998,1
BA,Capim Grosso,-11.37969971,-40.00889969,1
BA,Caraíbas,-14.7177,-41.26029968,1
ES,Cariacica,-20.26320076,-40.41650009,2
BA,Castro Alves,-12.75790024,-39.42480087,17
BA,Catu,-12.35130024,-38.3791008,1
BA,Conceição da Feira,-12.5078001,-38.99779892,4
BA,Conceição do Almeida,-12.78359985,-39.17150116,1
GO,Cristalina,-16.76759911,-47.61309814,1
BA,Cruz das Almas,-12.66749954,-39.10079956,21
PR,Curitiba,-25.41950035,-49.26459885,2
MG,Curvelo,-18.75270081,-44.43030167,1
MG,Diamantina,-18.24130058,-43.60309982,1
MG,Espinosa,-14.92490005,-42.80899811,2
BA,Euclides da Cunha ,-10.5078001,-39.01530075,2
BA,Feira de Santana,-12.26640034,-38.96630096,62
SC,Florianópolis ,-27.59449959,-48.54769897,1
ES,FUNDAO,-19.93700027,-40.40779877,2
SP,guarujá,-23.98880005,-46.25799942,3
BA,Iaçu,-12.76659966,-40.20560074,2
BA,Ichu,-11.74310017,-39.19049835,1
BA,Ilhéus,-14.79300022,-39.04600143,8
BA,Ipirá ,-27.40379906,-51.7757988,1
